WEEK NUMBER,NO. OF DEATHS ,COUNT,TYPE,SEASON
2017-14,5,0,CURRENT WEEK DEATHS,2016-17
2017-15,10,10,PREVIOUS WEEK DEATHS,2016-17
2017-15,10,0,CURRENT WEEK DEATHS,2016-17
2017-16,3,3,PREVIOUS WEEK DEATHS,2016-17
2017-16,3,0,CURRENT WEEK DEATHS,2016-17
2017-17,3,3,PREVIOUS WEEK DEATHS,2016-17
2017-17,3,0,CURRENT WEEK DEATHS,2016-17
2017-18,1,1,PREVIOUS WEEK DEATHS,2016-17
2017-18,1,0,CURRENT WEEK DEATHS,2016-17
2017-19,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-19,0,0,CURRENT WEEK DEATHS,2016-17
2017-20,1,1,PREVIOUS WEEK DEATHS,2016-17
2017-20,1,0,CURRENT WEEK DEATHS,2016-17
2017-21,2,2,PREVIOUS WEEK DEATHS,2016-17
2017-21,2,0,CURRENT WEEK DEATHS,2016-17
2017-22,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-22,0,0,CURRENT WEEK DEATHS,2016-17
2017-23,1,1,PREVIOUS WEEK DEATHS,2016-17
2017-23,1,0,CURRENT WEEK DEATHS,2016-17
2017-24,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-24,0,0,CURRENT WEEK DEATHS,2016-17
2017-25,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-25,0,0,CURRENT WEEK DEATHS,2016-17
2017-26,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-26,0,0,CURRENT WEEK DEATHS,2016-17
2017-27,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-27,0,0,CURRENT WEEK DEATHS,2016-17
2017-28,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-28,0,0,CURRENT WEEK DEATHS,2016-17
2017-29,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-29,0,0,CURRENT WEEK DEATHS,2016-17
2017-30,0,0,PREVIOUS WEEK DEATHS,2016-17
